prompt_tokens,completion_tokens,total_tokens
759,637,1396
1067,162,1229
339,178,517
513,667,1180
920,1040,1960
1067,128,1195
305,194,499
529,801,1330
1054,970,2024
1062,127,1189
299,177,476
507,659,1166
907,852,1759
1040,156,1196
306,198,504
506,626,1132
852,858,1710
1059,109,1168
278,120,398
447,694,1141
939,733,1672
1079,167,1246
356,221,577
568,465,1033
731,1240,1971
1059,138,1197
307,155,462
482,584,1066
830,935,1765
1068,140,1208
318,184,502
520,685,1205
939,717,1656
1047,109,1156
266,118,384
433,627,1060
860,689,1549
1076,109,1185
295,155,450
499,726,1225
988,856,1844
1056,180,1236
346,211,557
535,663,1198
905,1093,1998
1062,109,1171
281,168,449
498,518,1016
766,524,1290
1070,170,1240
350,170,520
508,559,1067
815,921,1736
1063,160,1223
333,160,493
491,751,1242
1000,1142,2142
1046,173,1219
329,187,516
501,631,1132
863,818,1681
1061,109,1170
280,154,434
483,623,1106
870,923,1793
1077,113,1190
300,121,421
466,687,1153
950,878,1828
1057,142,1199
309,191,500
516,612,1128
855,823,1678
1050,113,1163
273,123,396
441,578,1019
815,950,1765
1055,171,1226
336,233,569
556,829,1385
1071,1057,2128
1054,137,1191
301,183,484
505,548,1053
789,721,1510
1045,113,1158
268,163,431
476,516,992
748,736,1484
1054,137,1191
301,204,505
526,625,1151
866,775,1641
1051,164,1215
325,189,514
508,959,1467
1196,1078,2274
1052,133,1185
295,182,477
502,554,1056
792,580,1372
1066,166,1232
342,155,497
489,545,1034
797,870,1667
1060,167,1227
337,192,529
520,705,1225
951,783,1734
1072,142,1214
324,180,504
520,595,1115
853,668,1521
1063,113,1176
286,167,453
498,694,1192
943,1070,2013
1072,215,1287
397,262,659
602,837,1439
1095,1402,2497
1058,215,1273
383,248,631
574,763,1337
1008,714,1722
1077,113,1190
300,164,464
509,810,1319
1073,970,2043
1060,144,1204
314,186,500
514,573,1087
819,702,1521
1063,189,1252
362,253,615
584,554,1138
803,744,1547
